title,content,
Amazing,Amazing Hotel and Restaurants. Lovely views and well worth a visit! Truly a grand European hotel with all the modern luxuries. Lunch was spectacular (order the perch it is caught locally). Gardens are lovely and everything is an easy walk. You are right on the water with amazing views of snow covered mountains.,
Worth the motorway dash from Geneva,"Geneva hotels at trade show times are generally over-priced and under-interested in you as a guest so it really is worth the short trip along the motorway - or by train - to Lausanne to stay in this confection of a hotel on the lakeside - the Beau Rivage Palace is an oasis of calm by comparison. Delightful rooms, excellent staff and prices that are not as stratospheric as in Geneva make it an ideal bolt-hole. The position at Ouchy is perfect and if you can get a lakeside room then the views, morning or evening, are just about perfect. You get a sense that the staff really do care about you no matter how busy they are and attention to detail and delivery of perfect service is something that goes to their hearts. No, it isn't cheap - whether you are buying a room, a meal or even",
A Grand Lady overlooking the Lac Leman.,"Although not particularly fond of staying in relatively big hotels, I was pleased to discover that despite the size of this hotel, and despite the many business conferences taking place and the palatial size of it all, with their impeccable service the staff here still manage to make one feel at home and very much welcomed. A small gripe about a noisy room due to some ongoing maintenance works prompted an immediate and very efficient response resulting in a flawless room change to a superior room in no time. The rooms are sumptuously furnished, the bathrooms very spacious and well equipped and the view of the mountains to die for. The whole hotel is nothing but a super luxury palace from where you never want to leave!",
Queen at the palace,"The best hotel i've ever been to. Everything was perfect. The welcoming, service, food, room, location, luxury. They made feel like a Queen at her own palace. I recommend this fine hotel to everyone who is looking to pamper themselves.",
Classic elegance,"A palace on lake Geneva. Elegant old world class. The breakfast in the atrium was amazing. The rooms exquisite. Each and every detail was to perfection. The classic architecture, the view of lake geneva and the sorounding alpes, the ambience, the details.. flowers, the serving pieces, the crystal, the linen. It lives up to its leading hotels of the world status.",
Lives up to its name,"Staying here is like staying in a Palace, very upmarket, but lives up to this.Lots of grounds to walk in and wonderfull lake views, resturants were excellent, very old world feel, but very up to date facilities, great service, and class",
One of the nicest hotels I have ever stayed in,"Set on the banks of Lake Geneva, the Beau-Rivage is definitely pitched upmarket with rates to match. That said, the service, rooms and general surroundings are simply fantastic. Te breakfast is served in the large semi circular conservatory extension over looking the lake and outside of Gleneagles, is just the best breakfast ever - allow a couple of hours and don't eat too heavily the night before! Clientele is a mix of rich and mega rich retirees and the odd well heeled businessman - I was booked to stay in the sister hotel next door which had closed for Christmas. If you go at Christmas, the tree in the lobby that is 4 floors high is pretty impressive.",
Most Amazing Hot Chocolate on Planet Earth,"Life changing event alert: This morning I had homemade hot chocolate at the Beau Rivage Palace hotel for breakfast. It is to hot chocolate, what Turkish coffee must be to American coffee (not that I know the first thing about coffee). It is thick, dark and universe altering. Business trips almost never result in such finds, but this one did. Truly amazing. I stayed here for an arbitration, which was held here in the hotel. The hotel is magnificent, the service is superlative and the business convenience is high. The bed was confortable and the pillows were heavenly.",
A gem on lake Geneva,"I was unsure what to expect actually. And from my arrival to a beautiful lobby filled with fresh cut flowers, to my amazing room overlooking Lake Geneva, i was blown away. actually staying there in June again. The hotel is a mixture of old and modern, but done well. Not to different, but such elegance, warmth and class. It is my new Favourite hotel in Switzerland. Beautiful restaurant for breakfast and lunch with views if italian Alps, huge hallways, and excellent rooms and meeting space. And i great location to go to Montreaux, Gryeres, Geneva or the Alps. Highly recommend this beautiful hotel to anyone.",
Beautiful Hotel on the Waterfront,"I must say, that this hotel is the Grande Dame of them all. It is beautifully situated in Lausanne along the water. There is such lush green space and plants, beautiful pool and a very good spa available with extensive services. The food is superb and there is much attention to detail. The views from the rooms are spectacular, facing Lake Geneva. It is an elegant Hotel that is quite reserved. Although it is very expensive, the ""pearl"" on the lake is the number one destination in Lausanne.",
"Unpleasant service by ""E. Marchal"" at the Lobby Lounge (terrace and inside)","The terrace of the Lobby Lounge is great thanks to its view, space and relax atmosphere. Unfortunately, all these advantages are spoiled by the attitude of a waiter called ""E. Marchal"" and his nasty and hypocrite comments towards the clients. We are frequent customers of this place (terrace and inside).",
Disappointing !!!,"It was a night in December 2012. My companion wanted to surprise me on my birthday by inviting me to my favorite restaurant! Here we are at the Beau Rivage Cafe, Lausanne or a special romantic dinner. 1st mistake: the waiter did not who ordered what, so he had to ask us ( thing that not used to happen before ......) 2nd disappointment, I always order my favorite menu there ""filet de perche"" but this time frankly , I was disappointed !!!! they were not as always , I guess there is a new chef...... 3rd and biggest disappointment for such an establishment, when we got out from the restaurant all our clothes smelled the frying !!! I couldn't believe it !!! our table was in the middle of the restaurant maybe a bit close to the kitchen, so what ? in such places this is a NO NO",
A well earned reputation for excellence,"On my way from Paris to Rome I took what turned out to be an inspired choice, to stop over in Lausanne. I was upgraded to a lake and Alps view room, and my attached image will testify to the grandeur of the view. I have stayed at a number of 5 star establishments in Europe and Asia Pacific, and this would be the best I have experience. Even though it was a one night stay, the level of service was superb. My driver and the hotel staff were still outside when I entered the lobby, and was addressed by name and greeted immediately. A nice touch. I dined in my room both for dinner and breakfast, and the staff were extremely friendly and helpful and the meals impeccable. The old world elegance of the Beau-Rivage Palace is enhanced and you explore the many elegant ballrooms and see the",
True 5-star experience in Lausanne,"Unfortunately I spent only one night at the Beau Rivage, as I was on a business trip. Even if it was really short, I really enjoyed every minute of my stay at the Beau Rivage which is now of my best hotel experience in Europe. Pros - Overall impression : the hotel is extremely impressive even for a guy like me (I prefer contemporary and design hotels to the Grande Dame style) - Room : nothing to say, it is extremely nice and comfortable. Decoration is a bit old fashioned, and not my favorite but this is only a personal opinion. - Bulgari products in the bathroom - Jacuzzi style bathtub in addition to a separated shower cabin - Excellent quality of service (escort to the room, use of your name during every interaction, effective and friendly...). I will relate a short story that",
Lausanne's Quiet Star,"Studied, quiet elegance at any time of day or night, or weather permitting, on the exquisite terrace overlooking Lac Leman. My retreat after the death of my dear wife, I was inspired to manage grief at the very sight of a caring staff, dining room distilled in the evening light and a large suite that ignited and refreshed fading happiness. Ten days in the stunning embrace of Beau-Rivage was an altering experience and renewal of many happy times spent there several years earlier.",
Almost perfect,"We booked a suite with lake view - the later was stunning. Room was really nice, high ceiling, good mix of modern and traditional. Great in room food, good service, nice spa. If you have business in the center of lausanne you will have to take a cab or the metro",
A paradigm of late 19th Century elegance,"Located in Ouchy on the lakefront of Lac Leman in Lausanne, this hotel oozes opulence. The location is unmatched--gorgeous views of the lake and across to Evian in France, directly across the street from the lakefront providing easy access to a stroll along the waterfront and all that it has to offer, and close proximity to the Lausanne metro allowing you to travel throughout the city with ease. The staff exudes a welcoming and friendly attitude from the check-in process, which includes a personal orientation to hotel amenities and to your room, until the moment you depart. The public spaces are elegant in the extreme, with ballrooms in which you can easily imagine crowned heads of state of 19th century Europe holding court. The rooms are plushly furnished and up-to-date,",
"Geat holiday resort, grand hotel","A grand-hotel ""à l'ancienne"", old-style. It was all simply perfect. Yes, the rooms need a refreshment to move into a more modern style, but actually you don't really need that except for the pictures you will show to our friends, as all is just fantastic. Reception: we were greeted and scorted by a lovely girl who, by the time it was, went further on by asking us if we had had lunch yet. As it turned out we hadn't, a table was immediately proposed and booked at the Café Beau-Rivage, which was a nice touch. My girl received a child-size bathrobe+slippers, a bag and a welcome orange juice+cookies plate, fabulous (and delicious). Rooms: facing the lake is compulsory here, lovely view, rooms were nicely decorated on an old style but with all working and new tech. equipment,",
Amazing.,Simply amazing. Gorgeous view of the French Alps! Hotel was beautiful. Room with a view is worth it! The spa was worth spending a day in for sure. Lausanne is a beautiful town and fun to walk around. The local restaurants were all great. I would learn a some basic French before you go...we found the locals know very little English so communicating can be a challenge. :),
Our best ever hotel experience,"Excellent location, the spa/swimming pool is one of the best we have seen (in an hotel). Rooms are big, classic but not too much and have just the modernity needed, not less, not more.Then comes the restaurants...well Myako is just superb. Great service. We haven't tried Anne Sophie LePic but this must be good as well. As usual in such case...the price of the hotel and the restaurants is very high....only if you can afford it really.",
Possibly the Best Hotel in Europe !!,"Hotels such as the Gritti in Venice, the Principe in Milan and the Negresco in Nice are marvellous but what is it about the Beau Rivage Palace that makes it even more magical? Well I suppose the location is a major factor.... set on the side of Lake Leman, it is rather like a stately and elegant 'lady' proudly and majestically in position and presiding over her empire. The views from the hotel are magnificent and change with the time of day,the season and the climate. They are restful and entrancing and if one cannot stop, relax and marvel, then one has to worry for ones soul, as it makes one realise the wonder of the natural world that we live in, with the Alps as a backdrop to the beautiful lake. Our enjoyment was enhanced, as we were fortunate enough to be upgraded to the",
Our Favorite Hotel!,"We checked into the Beau-Rivage for two nights as part of our 25th Anniversary trip. We have stayed at the Beau-Rivage many times in the past for special occasions. We have used both regular rooms and various suites. Our experience is that this hotel sets the gold standard for quality, ambiance and service. If you have never been here, you need to take the time to explore the magnificent building. The breakfast room could be one of the most elegant rooms in all of Europe. The suites all look down over Lake Geneva and across the water to Evian in France with snow capped alps. The rooms are decorated to perfection with every amenity. The spa is outstanding in every aspect. The concierge and every staff member greet you by name in a way that is warm and inviting and not",
Charming Location!,"There is no substitute for the location of this Hotel! The view of the lake from our guest room was beyond compare, making closing the drapes to block morning light a challenge. The guest rooms are a bit dated, but there seems to be work being done on some guest floors. Perhaps a new look is right around the corner. While the guest experience was technically on point from a hospitality perspective, the service lacked any real warmth. I was scolded by the overnight desk agent when I did not have my key and was unsure of who would let me into my room! The words were polite, but the tone was decidedly unpleasant. Otherwise the service was officially just fine. A nice visit to a beautiful town and a grand old Hotel.",
Beautiful,"Now this is a beautiful palace and I enjoyed every moment I was there. From The décor, colours, staff, ambience, atmosphere. They live up to their promises. I cannot fault this place. I would recommend it to anyone.",
Switzerland at its FINEST,"One of the best hotels in the world . A room with a lake view is a must , It costs a little more , But it is worth it . The hotel has its own private garden . Breakfast is EXCELLENT . Outstanding service with very courteous and efficient staff.Our room was spacious and very comfortable with a lake view which is a must . We enjoyed our treatments in the spa as well as the pool and the sauna . Dining room and lounges all overlooking lake Geneva and Mont Blanc. An excellent choice .",
Five stars old charm,"We book the standard room with garden view.On arrival we were upgraded to a lake view room by Eric, the very helpful desk clerk. The hotel is big with three restaurants, a big spa and 2 pools; you can stay here without going out! The personal, also the cleaning people, is very friendly.",
Top class,"Stayed overnight en route from Italy to UK. On arrival we were upgraded to a junior suite with lake view. Spacious and finely-furnished with tapestries etc. (see photo). The public areas are on a grand scale and ornately decorated. Immaculate service. Free wi-fi, and garage parking (CHF 30 per night).",
Old fashioned luxury on the shore of Lake Geneva,"My wife and I had a brief one night stay here (room 466) in September 2012. The Beau Rivage had been refurbished since my previous stay here and was looking smart and elegant. There is a lovely terrace for drinks overlooking the lake in clement weather. The room, which was the cheapest on offer, was still quite large, with a big bathroom and plenty of space to sit. The shower was good and the bed comfortable. I would have preferred a directed bedside light, but that is a minor quibble. Service was efficient and appeared genuinely friendly. A places that it is hard to dislike, until you get the bill, but this is Switzerland after all.",
Sublime,Ok so now we know how it feels to live the life of royality. You can't help be impressed. By all means don't miss dining at Sophie Pic. It's all wonderful. The spa experience was one of the best we've experienced. Faultless hospitality.,
Magical! just superb,What can i say- switzerland actually europe at its very best. Stayed here 6 years ago and thought it was amazing. This time saved up and splurged on a full lake view room- def worth it.stayed as leader club member and was upgraded to a higher category room.took my parents and they were upgraed to grand deluxe lake view room. Service amenties rooms immaculate. Staff so helpful and grounds just beautiful. Its switzerland so just accept its going to be expensive. Ate at l' accademia one night - average and unfortunately a bit of attitude from staff- its europe so just accept that.quick lunch at cafe beau rivage- perfect! Its just amazing and wpuld def be back .,
Luxury hotel with wonderful view over the Alps,"We have stayed there in August 2012 for a friend's wedding. This luxury hotel in a classic 19th/early 20th century style has all you would expect such a hotel to have: valet parking, luxurious rooms (bathroom even includes bubble bath), remarkable ballrooms for private events, fabulous pool, beautiful gardens and a breathtaking view over the Chablais part of the French Alps on the opposite side of the lake. And for parents, there even is a children playroom with live small rabbits and Guinea pigs just behind the front desk. The staff is extremely friendly, helpful and flexible. We for example ordered in-room breakfast after the deadline but the front desk still managed to take our order, even in the middle of the night. A thing you should not miss is the downstairs bar,",
Not one of the best - but it's the best !,I stayed in this hotel last jun with my family. We have booked tow connected rooms with lake view. Location is excellent. Every thing in this hotel is just so amazing . Don't go to this hotel to see Lausanne but go to Lausanne to see this hotel !,
Perfect,"We went there at the beginning of August. There is not so much to say about this hotel. The building is fantastic, the service is great, the room (with a view) is well furnished, and the spa is great also and the breakfast is just excellent.",
The beautiful place in the world!!!!!,"Very beautiful hotel on the shore of the lake. You can see Alps looking at you. Hotel is very good. As I understood it is a very old hotel. Service perfect. But when we asked for a dinner at 1 night, we couldnt find anything to eat even in the bar:)))) The nice barmen gave us tomatos and olives :)))) We had to go to our rooms and order room service. Food is very very tasty. SPA is perfect. Recommend to anyone to go there!!!",
as my nephew said: we are staying at a palace!,"Beautiful location, incredibly thoughtful staff (we had called ahead of time requesting that they purchase something for us and were delighted to see that our request had been met), large rooms with the most amazing views of the lake, incredible spa and pool. And don't get me started on their breakfast buffet -- a delicious experience. I wish we could have tried their 2 Michelin star restaurant. It shall await for another time. When in Lausanne, don't think to stop anywhere else!",
wonderful property and service at superb location,"I stayed 1 night at this hotel to attend a friends reunion in summer 2012. I was given a standard superior room with lake view in the East wing of the hotel. The hotel is wonderfully located at the shores of Lake Geneva in Lausanne Ouchy, just a quick metro ride from downtown Lausanne. The hotels is set in wonderful gardens - a very nice location! Welcome and check-in were very friendly and efficient. My room was not ready yet but the staff did accompany me to the spa area and took care of my baggage and transferred it to my room while I was enjoying the sun at the pool. My room key awaited me at the spa reception: perfect service! The room is traditionally decorated: mural paintings, belle epoch furniture and thick curtains give it a luxury atmosphere. It was perfectly clean",
One of the top hotels that I've stayed in,"This hotel, on Lake Geneva (or Lac Lemon as I learned) had stunning views both inside and out. Great location in the middle of the city. Staff were very friendly and helpful. Room was nicely appointed and comfortable. Loved the automatic window shades operated by a bedside remote! Great choices for dining, and one of the best breakfast buffets that I've seen. Very elegant and was a high point of our stay in this city.",
"Majestic, elegant hotel.","I have a weakness for this kind of grand, storied hotel. My wife is much less enthused about old palaces like this but even she was somewhat entranced by it's grandeur. We had a suite with very high ceilings (20 ft or so) and patio doors opening onto the lush lawn and overlooking the lake. Even the elegant bathroom had patio doors opening into another part of the grounds. This hotel is expensive but represents reasonable value in contrast to the cost of everything else in Lausanne or Switzerland in general for that matter. The breakfast buffet on the patio is very, very good. It's pretty hard to beat enjoying a delicious breakfast on a gorgeous patio overlooking the lake and mountains. Everywhere I went in this hotel I couldn't help but feel like I was spoiling and",
Over the top opulence,"Probably the nicest hotel I have ever stayed in - amazing location on Lake Geneve with beautiful views, meticulously maintained facilites and excellet, though very expensive, restaurants and bars. Only concern is of price but Lausanne is rediculously expensive in general. Staff is outstanding, rooms are beautiful and comfortable and spacious. Nice thoughtful touches at every turn.",
"Traditional elegance, beauty and modern confort","Just by the Lake, it's been there sin 1860 something. Great service, perfect ambiance and very good restaurants. It's THE place to be in Lausanne.",
A grandiose hotel,"The most impressive hotel i know . You could drive a big car in the corridors . It is majestuous , the remnant of a bygone era . The room i had was huge, with two balconies overlooking the lake . The hotel has several restaurants from three stars to a superb brasserie . The food id superb everywhere and the wine lists are endless. There are also several bars , inside and outside . And the decor is always superb and relaxing . A dream of hotel , reasonably priced if you compare with Geneva. Do not miss it. Just one remark . At breakfast , i suppose that the service is done for the most part by stagiaires from the Lausanne école d'hotellerie . Thay tend to forget what you ask them . Fortunately the professional staff is supervising .",
Wow fantastic!,Stayed here with a friend for a mommy's spa day. Staff at reception were super friendly and professional. Spa was lovely very spacious with great indoor and outdoor pool. We had 3 treatments each which were extremely relaxing. We had a lovely room facing the lake overlooking the perfectly manicured grounds. Room service menu is extensive and varied. The presentation was super and food delivery efficient. Wish we could have stayed longer!!! Will definitely go back!,
peaceful and majestic - also good for families,"As it's been mentionned many times already, Beau Rivage lausanne is a great hotel, another fine instance of swiss hospitality. We stayed with our 2 young children in connecting superior rooms facing the lake. Although those seemed to be the most basic rooms available, they were still reasonnably pleasant @32sqm plus a balcony - which I made great use of, thanks to the awesome weather. Service was always top notch which made the all experience even more pleasant, and we found it a good destination for kids as well, with the large gardens, the children playground, the couple of pools inside the hotel as well as the lake and plenty of kids friendly atractions right outside ( Yetthe crowd on Ouchy was a bit dodgy over the week end as there was a music festival there, I preferred",
Weekend Retreat,"What a delightful hotel - great food, great wine, great facilities, great staff and a great venue. We had a mid-May weekend business/leisure retreat with colleagues from across Europe. The weather on the Friday and Sunday was excellent but on Saturday, which was our working day(fortunately), it rained heavily. Our room was bright and airy with one of the quietest and yet most efficent air conditioning systems we have experienced. The staff apologised to us because we could only have a partial view of the lake - that is the bit from Lausanne to Geneva! It was more than adequate with an excellent balcony to sit out upon (sun from noon until sunset). There was also plenty of wardrobe and luggage space. The bed was very comfortable and we had two very restful sleeps. Nothing was",
"Classy, elegant, good location and feels very comfortable","It's famous place and very elegant one. It's a palace but still feels like home. There is free wifi in the rooms and everywhere in the hotel. Breakfast is very good. They have a nice terrace and pool. The hotel is facing Lac Leman. It is pretty close to the center. Metro station Ouchy is 2 min walk from the hotel. The rooms are large and well equipped. Two things I didn't like: check-in took us forever, three people changed at the reception, each one was giving different information about the waiting time (the rooms were not ready) and security deposit. We had to wait for almost two hours before our rooms were ready. The other thing is ... It's quite expensive.",
Luxurious hotel,"One of the most luxurious hotel in Lausanne (comes with the price). The service was great, especially people at the reception and the guys standing outside. We had the room facing the carpark, so i can't tell you about the wonderful views, but if you take a 5 mins walk out to Ouchy, there is a beautiful park and Lake Geneva. Two supermarkets near by as well. The breakfast (@ CHF 49) was okay, good variety.",
Lakeside luxury,"Wow! The Beau-Rivage Palace plus stunning natural setting on Lake Geneva with views to the Alps equals an unforgettable trip. We stayed in 309 - Junior Suite Beau-Rivage. The many highlights included: + Impeccable service. Breakfast staff deserve a special mention! + Bedroom / living area was very spacious, comfy bed, all mod cons + controls + Balcony - not huge, but plenty space for table and two chairs to admire those views ... + Large bathroom with huge bath / jacuzzi in the centre + Separate shower, dual sinks + luxury toiletries + Arrived to flowers, champagne and fruit - another nice touch to make you feel welcome + Classical style without feeling too stuffy or dated. Some really beautiful rooms for conferences and events on the ground floor, almost made me wish I was",
3 Nights at one of the best hotels in the world.,"Stayed on business as guests of a car manufacturer while attending the Geneva Motor Show. Nights of 4th, 5th, 6th March 2012. Drove there from the UK. This is a truly top class hotel with impeccable standards. Noithing is too much trouble to any of the staff. We were there to work, so I can't tell you about the spa and things like that. I can tell you that the 40 Euro breakfast spread is the finest I have ever seen. had some splendid scallops for dinner in one of the restaurants. The 'house red' in the bar was a fine St Emilion. Steaks, not so perfect.",
EXCEPTIONAL PALACE WHICH TRULY DESERVES ITS 5 STARS AND LEADING HOTEL OF THE WORLD RATING,"My wife and our 6 years old kid spent 2 nights in Beau-Rivage Palace from 30.03.2012 - 01.04.2012. Thanks to the great help and assistance of Mrs Hemmeler (Public relations and communications Manager), we were lucky enough to be upgraded in the Junior Suite number 209 on 2nd floor, with full lake view and balcony. This Junior Suite was just great and beautiful, especially the bathroom with a huge bath with jaccuzzi. The outside view was just breathtaking, lake Léman and mountains, just in front of you ! Upon arrival, the bell man came immediately, took our bags and was in charge of our car in a very efficient way. There was no queue at the reception and a visit of the Palace was organised for us by the excellent, professional and smiling Mrs Vanessa-Nadège Ducoloné, whom gave",
top quality,"everything in this hotel is top quality and extremely charmant. The position: looking the lake and the alps, the liberty style, and a kind of magic atmosphere. Rooms are very well equiped, with a lot of space of very good bath accessories. Bar, breakfast and restaurant are top quality both for service and food. One of best room services I experienced both speed and quality. The concierge is supporting to organize all what possible in and out the town. There is an excellent spa (even if 4 letters to confirm a massage are a bit too many....specially when they are addressed to ""monsieur Cristina""..??!!)) and I recommend the taoist massage.",
A well deserved No 1 spot,"Though living in the Lausanne area, I organised a little surprise for my wife, for our wedding anniversary and booked a room and a massage for her at the Beau-Rivage. It ended up being a lousy idea, as now, she'd love to spend a week every year at this beautiful property ! Excellent service, a view to die, most friendly and efficient service, a lovely spa, a buffet breakfast which was more than a great meal. My only little remark on the negative side: internet wifi access should not be a paying proposition. Will we be back ? Definitively !",
"Amazing place- beautiful spot, excellent service and old world charm.","We stayed at the Beau-Rivage Palace a few years ago, but when the hotel popped up on my Trip Advisor List, I just had to contribute a review. We have stayed all over, far and wide, and in all types of places (from ""super high-end"" to a ""hammock on beach"" ;-) and this place still stays in my mind as one of the most special. It is absolutely amazing location-wise, service-wise, amenities-wise..basically everything-wise. We went to Switzerland as guests of the Tourism Board, and they clearly consider this hotel to be the best Lausanne offers- and we agree 100%. The hotel itself has an old world elegance and charm. The grounds and views are magnificent. Impeccable service (and really, nice, kind people too). We had a huge room facing the lake - with huge windows that you",
Deserves it's Number One status,"I admit I have stayed here now for four years at the time of the Geneva Motor Show but here is a good reason for that! It is a fantastic place to stay and entertain business guests. The location alongside the lake is stunning. The staff are always excellent, friendly, efficient and helpful. The food and beverage service in every outlet I have tried is of excellent quality and the rooms are just so good you don't want to leave them. I have never had anything other than praise from the guests we host here and whilst no-one could describe the Beau Rivage Palace as cheap, the hotel represents excellent value when you consider just what you get for the money. And at show time the attention we receive is better than anything I have ever experienced at the Geneva hotels who really know",
Great Service and very friendly Staff,"Stayed at this hotel for one night and have been upgraded into a great lake view room. Staff was great, very helpful and friendly. The room was spacious and very clean, loved the amenities and the view. Breakfast is definitely worth paying for. Incredible service and a large choice of dishes, with an amazing view on lake Geneva. I was expecting a lot from the SPA but was not amazed. Very standard for a 5 star Palace Hotel nothing crazy, although the service was here, again, just perfect!",
I advise everyone.,"Vacation in May. An excellent, respectable hotel on the shores of Lake Geneva, is located in the heart. A cozy lounge with a small fountain, where you can drink coffee and admire the beautiful sky (glass ceiling). The rooms are spacious, the furniture, though, in the Baroque style, such a antiques. The restaurant plays the piano a wonderful woman who knows a couple of Russian songs (""Dark Eyes"" in English ""longitudinal road ...""). Food is very good, but the range of low-key. Service without flaws. I advise everyone.",
Great experience,"I stayed at the Beau-Rivage Palace for one night and was truly amazed by the impeccable service - friendly, quick and just perfect! Honestly, every request and wish was answered with a yes and the solution was provided immediately. Also, the spa is beautiful and everyone is genuinely friendly there too. My special thanks go to Annalia, who is a true hair artist - I can really recommend her warmly! All in all, my short stay was all I could ask for - I totally enjoyed myself! So if you are looking for a luxurious hotel with wonderful service, the Beau-Rivage Palace is the place for you in Lausanne.",
Lovely,"Great hotel in a lovely surrounding. We were kindly offered to check in late in order to fully enjoy the spa, which was very much appreciated! Morning breakfast was lovely, overlooking the mountains and had a wide array of healthy choices. Would love to go back in summer as the outdoor area also seemed very charming!",
perfect setting,Lake view room provided wonderful vistas- As we were there in late summer sitting on the veranda with an aperitif was a cosmic experience. We fully enjoyed their breakfast service and the manager was a perfectionist. I also was surprised that the front desk receptionist escorted us and introduced us to our room personally. This was a Mercedes euro delivery trip and when the valet brought up our car at check out he presented us with a travel bag with 2 cold fresh bottled waters - quite a nice touch. Felt like royalty,
a true five star experience !,"we spent a real great week end celebrating a friend's birthday . this is a real palace with the service and staff that you would expect . the spa area is perfect , breakfast is good and if not on display on the buffet you can order pretty much anything you'd like . we just had a small issue with the housekeeping late at night (12pm) for a quilt and pillow change , they had to come 5 times and it took almost an hour to get it done properly , all this would have been ok if this was not requested few hours earlier ... but i must admit they were very appologetic and we had a nice present from the management to soothe the pain . we would be happy to go back anytime . during our stay we had dinner at the anne sophie pic michelin star restaurant and we were very desappointed , we",
Like stepping into another world...,"We stopped here on the first leg of a driving trip through southern Europe, and could not have a picked a more appropriate place to re-acclimate to a vacation mind-set. The hotel is meticulously maintained and clean, by our estimation, and really takes you back to a more elegant time and place, without compromising comfort. Imagine the sort of classic elegance that some modern hotels are trying to achieve, this is the template. Granted, you have to switch off the part of your brain that is counting every dollar, euro, and franc you are spending to enjoy yourself here. This is, for most of us, a splurge. But to go through your visit here looking at every bill would ruin the experience. So figure out all that ahead of time so once you pull into the port cochere you can",
You would not want it any other way,"The hotel is the best in its class - Belle Epoch hotel. The hotel has plenty of character of the old grand luxury. It balances it well with modern comforts, though on its own terms. Original features are preserved with care like old revolving doors that originated not far from here. The hotel allows you to travel back in time and this means letting go of some of the modern comfort. If you are staying here during the cold months you have to turn the heater on in the bathroom a few minutes before going in otherwise it is too cold. At the restaurant during breakfast you might want to wear a warmer jacket on a cold morning unlike at modern hotels with perfectly controlled constant temperature all year round. But interestingly so this things add to the experience rather then",
"Very nice hotel and restaurant, but poor customer care","The hotel is great and the restaurant is also outstanding, but the customer care is awful. We have organised several business lunches and full day meeting sessions in their restaurant, everything was fine except that despite the price paid they ask you to pay in addition the parking fee for the guests/participants outside at their parking gate at a automated cashier. It is just a pity to handle customers with such low care after an expensive lunch or meeting working day. Same low customer care applies when you spend time in their SPA for expensive treatments, you are still asked to pay an expensive extra to be able to use the swimming pool and you have also to pays their private parking fee. For such a good and expensive hotel/restaurant/spa, it is just a poor customer care.",
Exceeded my Expectation,"This is by far the best hotel around here, and on of the best in Europe. I am a frequent business traveller, i have highest membership status in several airlines and hotels, so its hard to exceed my expectation when it comes to hotels, but this hotel did exceeded my expectations.",
Beautiful but far from perfect,My husband and I spent three nights here during a 30 day trip to Europe. First the good. The location is wonderful. We had a ocean view suite with a balcony. It is easy to walk everywhere from here and the ferry is a close walk too. We checked in early and our room wasn't ready. They graciously provided a glass of champagne and arranged lunch by the pool. There is where the shock began. $200 for a poor club sandwich and small salad with 2 glasses of wine? Crazy! There were some serious other flaws. The first night we awoke at 4 am to a high pitch alarm sound. First thing in the morning we asked for a manager at the front desk. They said they would look into it. When the maid came to clean she couldn't believe the sound and was very apologetic. After returning to,
Five stars is not enough!,"We stayed at the B-R in September for two nights. On our way from Paris to Italy by train we wanted to spend a day in Lausanne to see the lake, etc. At the time of booking the only place with vacancies was th B-R, although the cost was way above what we wanted to spend in the end it was a case of ""well why not spoil ourselves"". I'm glad we did this as the experience was spectacular. On arrival you have to be impressed by the granduer of the place, but the treatment by staff is not pretentious, it is personal and helpful ... it was just great. An upgrade to a lake view room was a pleasant surprise and I have to say it is the best accommodation I have ever stayed in. Bit like a balcony room at the Palace of Versailles, except with better view!! Opulent is the word that describes",
Perfect place to relax on vacation,"It is rare for me to give 5 ratings for a hotel, especially one that costs me so much, but I was hugely impressed with this hotel. From the time I arrived to the time I left I was mostly greeted by name and always with the perfect balance of just right service without being too pushy or too absent. I was staying in a lake view room on the 4th floor and this was very nice. The only issue was a connecting door which I usually specify not to have but forgot on this occasion. I liked the roon so thought I would try it out. There was some noise from next door the first night but not enough for me to want to repack and move. As you can see fropmn my rating it didn't influence my opinion of the hotel, but if you don't like connecting rooms, remember to specify that. In",
Expectations Surpassed,"We had been told that the Beau-Rivage was the best place to stay in the Lausanne/Geneva area. For us as tourists, it certainly was. The low-key Lausanne environment was very relaxing, centrally located with easy access to Geneva, Montreaux, etc. The B-V was exceptional in every aspect. The room was wonderful (lake view w/ balcony). Haven't had a better stay in Europe.",
One of the Best,"This hotel is one of the best we have stayed in on all counts.. Location, service, size of room, quality of beds, fantastic pool/spa, and wonderful food. I only wish we could have stayed longer. Do try the fantastic Italian restaurant next door in the sister hotel Angleterre. It is superb and a great view. ",
"Fantastic hotel
Great views and beautiful decoration","Superb service, great rooms Love to come back every year!",
A great hotel with exemplary response to feedback,"I expected this hotel to be very good, and it was. It has modernised skilfully and is a great mix of updated facilities with traditional luxury. Pretty much everything lived up to billing: excellent rooms, really good housekeeping, charming service at every level - and a lovely terrace to sit out on and enjoy the view of the lake. The staff were relatively young and informal for a 'grand' hotel with the odd mistake or omission, but all cheerfully put right. But what impressed me most was the speedy response to any problem, and the fast/positive response to feedback in person on questionnaires. The attitude is the old one that the customer is right, and it's a welcome change from some of the poor responses at similar establishments or lesser ones. The only problem with the",
